Source,Target,weight
5294,272283,0.19999999999999998
5294,284207,0.19999999999999998
5294,301223,0.19999999999999998
5294,306209,0.26666666666666666
5294,307226,0.19999999999999998
5294,312920,0.19999999999999998
5294,335463,0.19999999999999998
5294,348243,0.19999999999999998
5294,358068,0.19999999999999998
5294,378371,0.19999999999999998
5294,629365,0.19999999999999998
5294,929848,0.19999999999999998
5294,1141567,0.19999999999999998
5294,1339880,0.19999999999999998
5294,1345874,0.19999999999999998
5294,1360844,0.19999999999999998
5294,1360909,0.19999999999999998
5294,1367909,0.19999999999999998
5294,1372160,0.19999999999999998
5294,1386209,0.19999999999999998
5294,1389057,0.19999999999999998
5294,1401203,0.19999999999999998
5294,1419525,0.19999999999999998
5294,1423987,0.19999999999999998
5294,1424028,0.19999999999999998
5294,1441463,0.19999999999999998
5294,1523741,0.19999999999999998
5294,1540347,0.19999999999999998
5294,1587365,0.19999999999999998
5294,1623103,0.19999999999999998
5294,1624317,0.19999999999999998
5294,1733178,0.19999999999999998
5294,1788101,0.19999999999999998
5294,1921728,0.19999999999999998
63475,133731,0.3333333333333333
63475,282945,0.3333333333333333
63475,335216,0.26666666666666666
63475,8069,0.3333333333333333
63475,28946,0.26666666666666666
63475,31542,0.26666666666666666
63475,32358,0.26666666666666666
63475,60552,0.26666666666666666
63475,63533,0.26666666666666666
63475,68655,0.3333333333333333
63475,86964,0.3333333333333333
63475,87571,0.19999999999999998
63475,89273,0.3333333333333333
63475,89848,0.3333333333333333
63475,116770,0.3333333333333333
63475,131470,0.4666666666666666
63475,152005,0.26666666666666666
63475,198736,0.3333333333333333
63475,214079,0.3333333333333333
63475,261760,0.3333333333333333
63475,272283,0.5333333333333333
63475,284207,0.3333333333333333
63475,289279,0.3333333333333333
63475,301223,0.3333333333333333
63475,306209,0.26666666666666666
63475,307226,0.3333333333333333
63475,312920,0.3333333333333333
63475,335463,0.3333333333333333
63475,343014,0.26666666666666666
63475,348243,0.3333333333333333
63475,358068,0.3333333333333333
63475,378371,0.3333333333333333
63475,381091,0.19999999999999998
63475,453941,0.3333333333333333
63475,457156,0.3333333333333333
63475,571834,0.26666666666666666
63475,629365,0.3333333333333333
63475,715794,0.3333333333333333
63475,792738,0.19999999999999998
63475,823214,0.19999999999999998
63475,929848,0.3333333333333333
63475,1129311,0.3333333333333333
63475,1141567,0.3333333333333333
63475,1269413,0.3333333333333333
63475,1323188,0.3333333333333333
63475,1339880,0.3333333333333333
63475,1345874,0.3333333333333333
63475,1360844,0.3333333333333333
63475,1360909,0.3333333333333333
63475,1367909,0.3333333333333333
63475,1372160,0.3333333333333333
63475,1381661,0.19999999999999998
63475,1382530,0.3333333333333333
63475,1383315,0.19999999999999998
63475,1386209,0.3333333333333333
63475,1389057,0.3333333333333333
63475,1401203,0.3333333333333333
