Source,Target
83285,83750
83285,104733
83285,267296
83285,314945
83285,343018
83285,1235863
83285,1364824
83285,1388688
288184,76228
288184,621386
7302,185678
185678,29913
185678,32887
185678,48080
185678,80211
185678,128217
185678,209966
185678,260834
185678,266448
185678,290889
185678,378371
185678,558857
185678,681449
185678,792578
185678,1341457
7529,47317
7529,73781
7529,86226
7529,734797
47317,83531
47317,85475
47317,87571
47317,1685497
73781,238284
73781,1364417
73781,1378058
86226,28353
86226,50107
86226,1000695
7623,239406
239406,81112
239406,1749748
1378058,57454
1378058,81112
1378058,238284
1378058,607850
1378058,1364417
1378058,1698954
1378058,1796600
1698954,251201
1698954,811839
8534,349433
349433,8973
349433,70881
21769,81112
25381,99391
26724,558713
50107,25780
50107,78689
50107,558713
70128,212492
75431,198736
76204,85611
78356,81112
78356,104609
78356,136089
78356,198813
78356,288570
79379,377117
79473,295740
79473,1354693
80838,142197
80838,1850544
81027,89369
81027,157214
81027,348243
81027,1297048
81027,1347657
81027,1371472
81112,28353
81112,65713
81112,72212
81112,75278
81112,79132
81112,80764
81112,83750
81112,127055
81112,182775
81112,261760
81112,338098
81112,353126
81112,371030
81112,438015
81112,811839
81112,1055114
81112,1055918
81112,1911324
82725,1379437
82725,1424001
82725,1666558
87421,668454
94077,15429
94077,73559
94077,1389266
94077,1395299
94077,1768963
94077,1881545
107970,76228
157214,1297048
157214,1347657
159995,1394499
192102,307183
192102,1346033
192102,1457394
212492,103188
256381,1345192
256381,1345194
267296,136770
267296,138640
282945,312922
282945,595474
282945,780962
284207,88869
284207,1360902
284207,1424028
290201,78074
295740,1354693
306319,1386209
312922,1374081
316804,316826
316804,1347941
316804,1395247
348243,1371472
353466,25780
355261,558713
355261,761971
428659,286116
428659,1716206
558713,17615
558713,25674
558713,28353
558713,31711
558713,47724
558713,57146
558713,84229
558713,87671
558713,141308
558713,195137
558713,666613
558713,1426037
558713,1457565
558713,1679301
558713,1685489
595474,780962
666613,44631
666613,787919
666613,1344305
707199,316833
721607,371896
780962,369085
1190556,1366876
1297048,1347657
1336432,517303
1347956,1367251
1353708,163326
1353708,1358275
1353708,1367909
1353708,1426037
1358275,1364089
1358275,1367909
1358275,1368021
1358275,1380634
1358275,1426413
1358275,1714984
1358275,1806838
1367909,410062
1367909,1378331
1367909,1419504
1377447,79622
1377447,1384834
1413277,165930
1413277,307488
8732,717747
717747,55283
717747,70881
717747,77729
717747,89369
717747,1129311
717747,1343138
717747,1723291
8973,45176
8973,70881
8973,83721
8973,86439
8973,1341908
70881,25639
70881,66883
70881,66932
70881,77729
70881,298191
70881,428014
70881,503070
70881,811400
70881,1306472
70881,1347554
70881,1360462
70881,1363157
70881,1395371
83721,343024
83721,703559
86439,24203
86439,66883
86439,297257
86439,351033
89369,107991
89369,306191
89369,1723291
10079,146063
41285,24203
41285,1671720
133731,1304967
32139,1623103
12545,63057
12545,448630
63057,45858
63057,64096
63057,78978
63057,128066
63057,448630
448630,45858
448630,64096
448630,78978
448630,128066
32838,1418104
14134,62180
14337,1282035
15429,32481
76228,32855
76228,67712
76228,81041
76228,315885
76228,968381
76228,1676954
76228,1806266
78978,45858
78978,64096
78978,128066
17615,28353
17615,47724
17615,77203
17615,314886
28353,47724
28353,48787
28353,57146
28353,84229
28353,141308
28353,1679301
77203,65652
77203,314886
18391,73144
18391,408283
408283,28946
408283,72434
408283,823214
20948,108478
20998,95311
20998,198895
53310,72927
53310,111576
154478,199514
23162,1396488
23719,53286
53286,1484052
24203,48080
24203,67273
24203,72927
24203,209966
24203,262959
48080,67422
48080,135874
67273,371896
72927,64868
209966,73044
209966,127055
209966,138640
209966,284335
209966,629599
209966,1000695
262959,288570
25674,73729
25674,214113
73729,31542
73729,214113
214113,31542
25742,152214
152214,83974
25780,142197
25780,1585058
142197,141850
142197,142550
142197,1516392
142197,1850544
1585058,65652
1585058,81246
1585058,335216
1585058,1378101
1585058,1796600
26597,31542
26597,103494
26597,195118
26597,371030
26597,1359330
31542,80444
31542,438015
31542,1471465
31542,1788221
31542,2039343
1359330,1347138
26939,764557
764557,1347502
27929,85611
85611,79799
85611,122840
85611,179179
85611,347240
85611,1455603
84229,141308
28946,65652
28946,79799
28946,213022
28946,381091
65652,335216
65652,381091
65652,1353743
79799,73559
79799,179179
79799,213022
87793,214079
260846,288599
260846,1384258
288599,1384258
369085,353168
369085,2091678
1347554,428014
29595,107991
31217,84995
64868,127752
64868,195990
64868,198836
64868,284335
64868,343018
262110,1480735
284335,288570
286116,1347543
286116,1918206
438015,1471465
31711,288306
32358,335216
335216,83750
335216,131276
32887,260834
260834,792578
33683,286167
84727,101925
35103,1235863
35103,1599676
1235863,1599676
1599676,83750
1599676,84239
1599676,2040495
35911,55283
55283,72033
55283,707842
36081,56450
36081,1396480
56450,1396480
36151,86305
36151,88326
36151,286333
36151,1414989
88326,277546
88326,286333
88326,503070
88326,1414989
286333,1414989
36680,288189
45858,64096
45858,89516
45858,128066
64096,128066
89516,73560
89516,294650
89516,675359
89516,1392323
46859,200133
83531,80478
83531,85806
87571,558857
67422,410062
49411,315885
49411,1774727
315885,81041
1343138,1777896
52678,95758
111576,1394923
66883,297257
54042,1115147
707842,87744
128217,551748
128217,822992
128217,1359965
1362827,345925
1362827,357309
56642,292703
57454,607850
57454,1796600
607850,298191
607850,1342614
607850,1796600
1796600,81246
1796600,360570
1796600,457156
1360885,1387256
67712,704623
80478,84239
84089,91192
127752,1351804
195990,1173105
198836,198813
198836,290900
198836,1353743
1353743,198813
65713,87013
87013,130980
87013,135538
87013,197568
353168,105186
353168,929848
2040495,614684
2040495,1910646
371896,198813
371896,786146
371896,1341457
410062,1378331
67474,198768
67474,1335229
1335229,196339
67645,332120
68933,165582
165582,85765
84239,131276
84239,1457613
277546,503070
277546,1306472
503070,1306472
558857,1389266
77729,182840
298191,811400
298191,1129311
298191,1342614
428014,1354700
131276,151982
131276,291120
131276,1457613
72434,823214
72604,87620
73101,2072528
73559,88328
73560,675359
338098,1491294
811839,251201
811839,1347856
238284,552564
238284,1364417
73893,83750
75278,188509
188509,1395087
75976,77683
968381,1806266
1806266,1756585
77918,161675
104609,163326
198813,290900
288570,128736
288570,160569
288570,458050
78699,361781
79622,1342544
79738,1790495
80012,80764
80211,266448
80211,378371
266448,136770
266448,378371
266448,1423987
81063,767251
1055114,1256227
1055114,1379430
81246,1336890
81712,161380
81712,395668
81712,1662403
1379437,1424001
1379437,1666558
1424001,1666558
102575,1129433
141850,1362994
83509,637161
83509,1540347
637161,1540347
343024,94561
1457613,357309
104395,165844
284434,1379434
316799,1353753
345925,357309
1358259,1228402
1364089,1368021
